Model,Medical_Term,Accuracy
Whisper-Large-v3,ultrasound,0.5714285714285714
Whisper-Large-v3,sonography,0.8571428571428571
Whisper-Large-v3,anechoic,1.0
Whisper-Large-v3,fetus,1.0
Whisper-Large-v3,gestation,1.0
Whisper-Large-v3,placenta,1.0
Whisper-Large-v3,cardiac,1.0
Whisper-Large-v3,obstetric,0.7142857142857143
parakeet-rnnt-1.1b,ultrasound,0.8571428571428571
parakeet-rnnt-1.1b,sonography,0.8571428571428571
parakeet-rnnt-1.1b,anechoic,0.0
parakeet-rnnt-1.1b,fetus,1.0
parakeet-rnnt-1.1b,gestation,1.0
parakeet-rnnt-1.1b,placenta,0.6666666666666666
parakeet-rnnt-1.1b,cardiac,1.0
parakeet-rnnt-1.1b,obstetric,0.5714285714285714
vosk-model-en-in-0.5,ultrasound,0.0
vosk-model-en-in-0.5,sonography,0.0
vosk-model-en-in-0.5,anechoic,0.0
vosk-model-en-in-0.5,fetus,1.0
vosk-model-en-in-0.5,gestation,0.42857142857142855
vosk-model-en-in-0.5,placenta,0.6666666666666666
vosk-model-en-in-0.5,cardiac,0.3333333333333333
vosk-model-en-in-0.5,obstetric,0.0
wav2vec2-base-960h,ultrasound,0.0
wav2vec2-base-960h,sonography,0.0
wav2vec2-base-960h,anechoic,0.0
wav2vec2-base-960h,fetus,0.0
wav2vec2-base-960h,gestation,0.0
wav2vec2-base-960h,placenta,0.0
wav2vec2-base-960h,cardiac,0.0
wav2vec2-base-960h,obstetric,0.0
